reads,db,variant,instructions_M,cycles_M,ipc,unique_cache_lines,l1d_loads,l1d_hit_pct,l2_hit_pct,nuca_hit_pct,elapsed_s,wallclock_s
10,8gb,S0,16.3,18.3,0.89,80157,2134796,98.14,.84,.1825,137.77,139
10,8gb,1way,7.3,5.1,1.45,21669,2052415,98.41,.78,.0705,51.74,52
10,8gb,4way,7.4,5.1,1.45,30884,2078120,98.18,.76,.1075,55.55,57
10,8gb,8way,7.5,5.3,1.42,43171,2113662,97.90,.75,.0885,57.91,58
10,16gb,S0,19.1,21.1,0.90,88347,2555985,98.18,.85,.1767,158.47,160
10,16gb,1way,9.3,6.3,1.47,23763,2554630,98.35,.92,.0628,63.27,63
10,16gb,4way,9.3,6.3,1.48,32978,2582755,98.15,.90,.1123,65.56,66
10,16gb,8way,9.4,6.5,1.45,45266,2622829,97.91,.89,.1061,70.09,71
50,8gb,S0,68.1,59.7,1.14,186527,13971437,98.66,.68,.2214,571.82,573
50,8gb,1way,51.7,31.2,1.66,54875,14455238,98.69,.67,.3803,512.96,513
50,8gb,4way,51.9,30.8,1.69,64090,14508403,98.61,.68,.4132,531.43,532
50,8gb,8way,52.2,31.4,1.66,76378,14595835,98.54,.68,.4101,683.47,683
50,16gb,S0,77.3,69.9,1.11,200425,15591212,98.47,.84,.2962,1766.69,1767
50,16gb,1way,51.6,32.4,1.59,47683,14613261,98.86,.69,.2452,698.61,699
50,16gb,4way,51.9,31.9,1.63,56898,14696890,98.73,.71,.3063,742.79,743
